concept,database,domain,code,display_name,new_domain,new_code
01-Demographics#gender,HEARTBEAT,sex,1,Male,gender12_hmn,1
01-Demographics#gender,HEARTBEAT,sex,0,Female,gender12_hmn,2
01-Demographics#gender,SHHS,gender12,1,Male,gender12_hmn,1
01-Demographics#gender,SHHS,gender12,2,Female,gender12_hmn,2
01-Demographics#gender,CHAT,sex,1,Male,gender12_hmn,1
01-Demographics#gender,CHAT,sex,2,Female,gender12_hmn,2
01-Demographics#race,SHHS,race123,1,White,race123_hmn,1
01-Demographics#race,SHHS,race123,2,Black,race123_hmn,2
01-Demographics#race,SHHS,race123,3,Other,race123_hmn,3
01-Demographics#race,CHAT,race3,1,Black,race123_hmn,2
01-Demographics#race,CHAT,race3,2,White,race123_hmn,1
01-Demographics#race,CHAT,race3,7,Other,race123_hmn,3
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,1,1+ 0 - 25%,tonsilarsize1299_hmn,1
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,2,2+ 26 - 50%,tonsilarsize1299_hmn,1
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,3,3+ 51 - 75%,tonsilarsize1299_hmn,2
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,4,4+ 76 - 100%,tonsilarsize1299_hmn,2
02-Anthropometry#tonsilsize,CHAT,tonsilsize2,99,Not done,tonsilarsize1299_hmn,99
02-Anthropometry#tonsilsize,CHAT,tonsilarsize,1,0-50%,tonsilarsize1299_hmn,1
02-Anthropometry#tonsilsize,CHAT,tonsilarsize,2,51-100%,tonsilarsize1299_hmn,2
04-MedicalHistory#asthmahist,SHHS,yesnod,0,No,noyes_hmn,0
04-MedicalHistory#asthmahist,SHHS,yesnod,1,Yes,noyes_hmn,1
04-MedicalHistory#asthmahist,SHHS,yesnod,8,Don't Know,noyes_hmn,8
04-MedicalHistory#asthmahist,SHHS,noyes01,0,No,noyes_hmn,0
04-MedicalHistory#asthmahist,SHHS,noyes01,1,Yes,noyes_hmn,1
04-MedicalHistory#asthmahist,SHHS,noyes01,8,Don't know,noyes_hmn,8
04-MedicalHistory#asthmahist,CHAT,noyesnotsure,0,No,noyes_hmn,0
04-MedicalHistory#asthmahist,CHAT,noyesnotsure,1,Yes,noyes_hmn,1
04-MedicalHistory#asthmahist,CHAT,noyesnotsure,88,Not sure,noyes_hmn,8
08C3-SleepStudyData-Respiratory-Breathing#periodicbreath,SHHS,noyes01,0,No,noyes_hmn,0
08C3-SleepStudyData-Respiratory-Breathing#periodicbreath,SHHS,noyes01,1,Yes,noyes_hmn,1
08C3-SleepStudyData-Respiratory-Breathing#periodicbreath,SHHS,noyes01,8,Don't know,noyes_hmn,8
08C3-SleepStudyData-Respiratory-Breathing#periodicbreath,SHHS,yesnon,0,No,noyes_hmn,0
08C3-SleepStudyData-Respiratory-Breathing#periodicbreath,SHHS,yesnon,1,Yes,noyes_hmn,1
08C3-SleepStudyData-Respiratory-Breathing#periodicbreath,SHHS,yesnon,8,Not applicable,noyes_hmn,8
10-SleepSymptoms#probstayasleep,SHHS,nevralw5,1,Never (0),probfreq_hmn,0
10-SleepSymptoms#probstayasleep,SHHS,nevralw5,2,Rarely (1x/month or less),probfreq_hmn,1
10-SleepSymptoms#probstayasleep,SHHS,nevralw5,3,Sometimes (2-4x/month),probfreq_hmn,3
10-SleepSymptoms#probstayasleep,SHHS,nevralw5,4,Often (5-15x/month),probfreq_hmn,3
10-SleepSymptoms#probstayasleep,SHHS,nevralw5,5,Almost Always (16-30x/month),probfreq_hmn,4
10-SleepSymptoms#probstayasleep,CHAT,alwaysornever,0,Never,probfreq_hmn,0
10-SleepSymptoms#probstayasleep,CHAT,alwaysornever,1,Rarely (less than once a week),probfreq_hmn,1
10-SleepSymptoms#probstayasleep,CHAT,alwaysornever,2,Sometimes (1 to 2 times per week),probfreq_hmn,2
10-SleepSymptoms#probstayasleep,CHAT,alwaysornever,3,Frequently (3 to 4 times per week),probfreq_hmn,3
10-SleepSymptoms#probstayasleep,CHAT,alwaysornever,4,Always or almost always (5 to 7 times per week),probfreq_hmn,4
10-SleepSymptoms#probstayasleep,CHAT,alwaysornever,88,Not sure,probfreq_hmn,88
10A-SleepSymptoms-Snoring#habitsnoringfreq,SHHS,snore6,0,Do not snore any more,probfreq_hmn,0
10A-SleepSymptoms-Snoring#habitsnoringfreq,SHHS,snore6,1,Rarely - (less than one night a week),probfreq_hmn,1
10A-SleepSymptoms-Snoring#habitsnoringfreq,SHHS,snore6,2,Sometimes - (1 or 2 nights a week),probfreq_hmn,2
10A-SleepSymptoms-Snoring#habitsnoringfreq,SHHS,snore6,3,Frequently - (3 to 5 nights a week),probfreq_hmn,3
10A-SleepSymptoms-Snoring#habitsnoringfreq,SHHS,snore6,4,Always or almost always - (6 or 7 nights a week),probfreq_hmn,4
10A-SleepSymptoms-Snoring#habitsnoringfreq,SHHS,snore6,8,Don't know,probfreq_hmn,88
10A-SleepSymptoms-Snoring#habitsnoringfreq,CHAT,alwaysornever,0,Never,probfreq_hmn,0
10A-SleepSymptoms-Snoring#habitsnoringfreq,CHAT,alwaysornever,1,Rarely (less than once a week),probfreq_hmn,1
10A-SleepSymptoms-Snoring#habitsnoringfreq,CHAT,alwaysornever,2,Sometimes (1 to 2 times per week),probfreq_hmn,2
10A-SleepSymptoms-Snoring#habitsnoringfreq,CHAT,alwaysornever,3,Frequently (3 to 4 times per week),probfreq_hmn,3
10A-SleepSymptoms-Snoring#habitsnoringfreq,CHAT,alwaysornever,4,Always or almost always (5 to 7 times per week),probfreq_hmn,4
10A-SleepSymptoms-Snoring#habitsnoringfreq,CHAT,alwaysornever,88,Not sure,probfreq_hmn,88
