display_name,id,mesa_id,definition
,pid,idno,
Age,age,age5c,AGE AT EXAM 5
Ethnicity,ethnicity,,
Gender,gender,gender1,GENDER
Race,race,race1c,RACE / ETHNICITY
Body mass index,bmi,bmi5c,BODY MASS INDEX (kg/m^2)
Cardiovascular disease,cvdishist,,
Chronic obstructive pulmonary disease/emphysema,copdhist,emphys5,EMPHYSEMA OR COPD: SELF-REPORT
Congestive heart failure,chfhist,,
Diabetes mellitus,dmhist,diab5,DIABETES: DEVELOPED SINCE LAST MESA VISIT
Hypertension,htnhist,htn5c,"HYPERTENSION BY JNC VI (1997) CRITERIA, EXAM 5"
Pacemaker placement,ppmhist,,
Stroke,strokehist,,
Taking cardiovascular medication,cvmedshist,beta5c,BETA-BLOCKERS WITHOUT DIURETICS
,cvmedshist,betad5c,BETA-BLOCKERS WITH DIURETICS
,cvmedshist,ccb5c,ANY CALCIUM-CHANNEL BLOCKER = CCIR OR CCBSR OR CCBT
,cvmedshist,ccbir5c,IMMEDIATE-RELEASE CCBS = NIFIR OR DIHIR OR VERIR OR DLTIR
,cvmedshist,ccbsr5c,SLOW-RELEASE CCBS = NIFSR OR DIHSR OR VERSR OR DLTSR OR AMLOD
,cvmedshist,ccbt5c,T-TYPE CALCIUM-CHANNEL BLOCKER
,cvmedshist,dihir5c,IMMEDIATE-RELEASE DIHYROPYRIDINES OTHER THAN NIFEDIPINE
,cvmedshist,dihsr5c,SLOW-RELEASE DIHYDROPYRIDINES OTHER THAN NIFEDIPINE OR AMLOPIDINE
,cvmedshist,dltir5c,IMMEDIATE-RELEASE DILTIAZEM
,cvmedshist,dltsr5c,SLOW-RELEASE DILTIAZEM
,cvmedshist,nifir5c,IMMEDIATE-RELEASE NIFEDIPINE
,cvmedshist,nifsr5c,SLOW-RELEASE NIFEDIPINE
,cvmedshist,verir5c,IMMEDIATE-RELEASE VERAPAMIL
,cvmedshist,versr5c,SLOW-RELEASE VERAPAMIL
,cvmedshist,amlod5c,AMLODIPINE
,cvmedshist,anar1a5c,"ANTI-ARRHYTHMICS, CLASS 1A"
,cvmedshist,anar1b5c,"ANTI-ARRHYTHMICS, CLASS 1B"
,cvmedshist,anar1c5c,"ANTI-ARRHYTHMICS, CLASS 1C"
,cvmedshist,anar35c,"ANTI-ARRHYTHMICS, CLASS 3"
Alcohol consumption,alcohol,curalc5,PRESENTLY DRINK ALCOHOL
Central sleep apneas/hour,csaperhr,CARDRBP,"Cent. Apnea per hour (REM, Back, all desats)"
,csaperhr,CARDROP,"Cent. Apnea per hour (REM, Other, all desats)"
,csaperhr,CARDNBP,"Cent. Apnea per hour (NREM, Back, all desats)"
,csaperhr,CARDNOP,"Cent. Apnea per hour (NREM, Other, all desats)"
Obstructive sleeps apneas/hour,osaperhr,OARDRBP,"Obs. Apnea per hour (REM, Back, all desats)"
,osaperhr,OARDROP,"Obs. Apnea per hour (REM, Other, all desats)"
,osaperhr,OARDNBP,"Obs. Apnea per hour (NREM, Back, all desats)"
,osaperhr,OARDNOP,"Obs. Apnea per hour (NREM, Other, all desats)"
Apnea hypopnea index ³ 15,ahigteq15,rdi0p,Calculated AHI at all desats  [Total number of Cental and Obstructive apneas (all desats) and 30% and 50% hypopneas (all desats) / (hours of sleep)]
Central apnea index ³ 5,caigteq5,cai0p_rem,Calculated - Central Apnea Index all desats in REM
,caigteq5,cai0p_nrem,Calculated - Central Apnea Index all desats in NREM
,caigteq5,cai0p_sup,Calculated - Central Apnea Index all desats supine
,caigteq5,cai0p_nsup,Calculated - Central Apnea Index all desats non-supine
Obstructive apnea hypopnea index,oahi,,
Percent sleep time oxygen saturation < 90%,sleepo2lt90,PCTSA90H,% sleep time SaO2 is < 90%
Atrial fibrillation - adjudicated event,afibadjud,ecgafib5,CONFIRMED: ATRIAL FIBRILLATION
Atrial fibrillation - electrocardiogram,afibekg,afib5c,ECG ATRIAL FIBRILLATION / FLUTTER
Atrial fibrillation - polysomonogram - paroxysmal,afibpsgparox,,
Atrial fibrillation - polysomonogram - persistent,afibpsgpersist,,
Atrial fibrillation  history,afibhist,prafib5,PRESENCE OF: ATRIAL FIBRILLATION
