display_name,id,mros_id,definition
,pid,ID,
Age,age,VSAGE1,AGE AT SLEEP VISIT IN YEARS
Ethnicity,ethnicity,NONWHITE,RACE:NONWHITE (1) VS WHITE (0)
Gender,gender,,
Race,race,GIERACE,RACE/ETHNIC CATEGORY
Body mass index,bmi,HWBMI,BODY MASS INDEX(KG/M**2)
Cardiovascular disease,cvdishist,MHCVD3,"HISTORY OF CVD V3(HX OF MI, ANGINA, CHF, BYPASS SURG, ANGIOPLASTY)"
Chronic obstructive pulmonary disease/emphysema,copdhist,MHCOBPD,MHCOBPD
Congestive heart failure,chfhist,MHCHF,MHCHF
Diabetes mellitus,dmhist,MHDIAB,MHDIAB
Hypertension,htnhist,MHBP,Q1.Have you ever had hypertension?
Pacemaker placement,ppmhist,AYPACEMK,pacer
Stroke,strokehist,MHSTRK,Q1.Have you ever had hypertension?
Taking cardiovascular medication,cvmedshist,M1CARDIO,"ON BETA BLOCKER, CA CHANNEL BLOCKER, OR ANTIARRHYTHMIC MEDS AT SLEEP VIS"
Alcohol consumption,alcohol,TUDRCAT,SLEEP VISIT: How many alcoholic drinks per week? WITH NON DRINKERS SET TO 0
Central sleep apneas/hour,csaperhr,,
Obstructive sleeps apneas/hour,osaperhr,,
Apnea hypopnea index ³ 15,ahigteq15,RDI3P15,OVERALL RDI AT 3% DESAT>=15 =1 ELSE =0
Central apnea index ³ 5,caigteq5,CAI0P5,CENTRAL APNEA INDEX ALL DESATS>=5 =1 ELSE =0
Obstructive apnea hypopnea index,oahi,POORDI,OBSTRUCTIVE APNEA (ALL DESATS) HYPOPNEA (3% DESAT) INDEX
Percent sleep time oxygen saturation < 90%,sleepo2lt90,POPCSA90,% SLEEP TIME SAO2 IS BELOW < 90%
Atrial fibrillation - adjudicated event,afibadjud,CDAFF,INCIDENT ATRIAL FIBRILLATION OR FLUTTER
,afibadjud,CDAFFFU,FUP (DAYS) FOR ANY AFF
Atrial fibrillation - electrocardiogram,afibekg,,
Atrial fibrillation - polysomonogram - paroxysmal,afibpsgparox,AYPAFIB,Paroxysmal Atrial Fib (pf)
Atrial fibrillation - polysomonogram - persistent,afibpsgpersist,AYAFF,Atrial Fibrillation/Flutter (AF)
Atrial fibrillation - history,afibhist,VSAFIB,EVER DIAGNOSED W/ ATRIAL FIBRILLATION/FL
,afibhist,VS2AFIB,EVER DIAGNOSED W/ ATRIAL FIBRILLATION/FLUTTER?
