category,display_name,id,source,source_id,parent_id,nlm_id,cde_steward,cde_identifiers,cde_value
01 - Demographics,Age,age,,,,mJufqum1Jg,NCI,caDSR: 2185960 v2,
01 - Demographics,Ethnicity,ethnicity,,,,czSdhGmvyKU,NINDS,NINDS: C00020 v3; NINDS Variable Name: EthnUSACat; caDSR: 2192217,
01 - Demographics,Gender,gender,,,,c15vK97pK5X,NINDS,NINDS: C00035 v3; NINDS Variable Name: GenderTyp; caDSR: 2200604,
01 - Demographics,Race,race,,,,6XCcMn_EP9k,NINDS,NINDS: C00030 v3; NINDS Variable Name: RaceUSACat; caDSR: 2192199,
01 - Demographics,Education,education,,,,FAYVNxzkcJ7,NINDS,NINDS: C00012 v3; NINDS Variable Name: EduLvlUSATyp; caDSR: 3134878,
01 - Demographics,Income,income,,,,X1anGMQJJg,NCI,caDSR: 2738624 v1,
01 - Demographics,Employed,employed,,,,myxMP0mkJx,NCI,caDSR: 2003074 v4,
01 - Demographics,Shift work,shiftwork,,,,,,,
02 - Anthropometry,Body mass index,bmi,SNOMED CT,60621009,,SOabw9Z7Ano,NINDS,NINDS: C11131 v3; NINDS Variable Name: BMIVal,
02 - Anthropometry,Body mass index Z-Score,bmizscore,,,,QkY_BmqoSA,NINDS,NINDS: C19621 v1; NINDS Variable Name: BMIZScr,
02 - Anthropometry,Height,height,SNOMED CT,50373000,,Xkfx6QemyJg,NCI,caDSR: 2179643 v4,
02 - Anthropometry,Hip circumference,hipcircum,SNOMED CT,284472007,,XJm_r77k1l,NCI,caDSR: 2793486 v1,
02 - Anthropometry,Neck circumference,neckcircum,SNOMED CT,420236003,,Q1ge_o6X1yl,NCI,caDSR: 2793491 v1,
02 - Anthropometry,Tonsilar size,tonsilsize,,,,,,,
02 - Anthropometry,Waist circumference,waistcirum,SNOMED CT,276361009,,mkNNnxXJke,NCI,caDSR: 2793481 v1,
02 - Anthropometry,Waist/hip ratio,waisthip,SNOMED CT,248367009,,_Phv0yMq4OB,NINDS,NINDS: C14464 v3; NINDS Variable Name: WaitHipRatioVal,
02 - Anthropometry,Weight,weight,SNOMED CT,27113001,,myNepmgQykx ,NCI,caDSR: 2179689 v4,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,SNOMED CT,271650006,,mkxgDWfEy1g ,NCI,caDSR: 2004291 v1,
03 - Physiological Measurements,Heart rate,heartrate,SNOMED CT,364075005,,X1UIG7Xy1g,NCI,caDSR: 2767073 v1,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,SNOMED CT,72313002,,7yMIAgNJJx,NCI,caDSR: 2004289 v1,
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,,,r3KB5aNs,NINDS,NINDS: C04504 v3; NINDS Variable Name: ECGHeartRhythmResltTyp; caDSR: 3189214,Atrial fibrillation 
04 - Medical History,Anxiety disorder,anixietyhist,SNOMED CT,197480006,,P2b7SBnpC6y,NINDS,NINDS: C17483 v3; NINDS Variable Name: PsychHistClinAnxietyDiagnosInd,
04 - Medical History,Asthma,asthmahist,SNOMED CT,195967001,,m1FNgEE5jSC,NINDS,NINDS: C19779 v1; NINDS Variable Name: MedHistAsthmaPulAssesInd,
04 - Medical History,Atrial fibrillation - history,afibhist,,,,x6Zh7RPAno,NINDS,NINDS: C17466 v3; NINDS Variable Name: CardioHistArrhythAtrialFibInd,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,SNOMED CT,406506008,,roDkOfEzX0y,NINDS,NINDS: C17493 v3; NINDS Variable Name: AttentionDeficitADHDInd,
04 - Medical History,Cancer - history,cancerhist,SNOMED CT,86049000,,w0fgYqWFZcH ,NINDS,NINDS: C17460 v3; NINDS Variable Name: CancerHistInd,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,SNOMED CT,44808001,,X26gnfGFxmR,NINDS,NINDS: C17469 v3; NINDS Variable Name: CardioHistArrhythInd,
04 - Medical History,Cardiovascular disease - history,cvdishist,,,,9cVbhAr2vdG,NINDS,NINDS: C17476 v3; NINDS Variable Name: CardioHistCondInd,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,SNOMED CT,13645005,,XJfti9o3ie,PhenX,LOINC: 64191-0,
04 - Medical History,Congestive heart failure - history,chfhist,SNOMED CT,42343007,,4EfzGeYhAxX,NINDS,NINDS: C17478 v3; NINDS Variable Name: CardioHistHeartFailureInd,
04 - Medical History,Coronary artery disease - history,cadhist,SNOMED CT,53741008,,DxS3d8XNdCD,NINDS,NINDS: C17479 v3; NINDS Variable Name: CardioHistIschHeartDiseaseInd,
04 - Medical History,Depression,depresshist,SNOMED CT,35489007,,Q1RrLVqoHC ,NINDS,NINDS: C19833 v1; NINDS Variable Name: PsychDepressInd,
04 - Medical History,Diabetes mellitus - history,dmhist,SNOMED CT,73211009,,XJk48E9sB0,NINDS,NINDS: C20241 v1; NINDS Variable Name: DiabetesDiagnosisInd,
04 - Medical History,Eating disorder,eatingdishist,,,,,,,
04 - Medical History,Eczema,eczemahist,,,,mykgii9jnjx,PhenX,LOINC: 64280-1,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,SNOMED CT,235595009,,,,,
04 - Medical History,Hay fever,hayfevhist,SNOMED CT,21719001,,QyfZdjcshie,PhenX,LOINC: 64185-2,
04 - Medical History,Hypercholesterolemia - history,cholesthist,,,,X1feM3EQy1g,NCI,caDSR: 2936262 v1,
04 - Medical History,Hypertension - history,htnhist,SNOMED CT,38341003,,Qylw1A7ykg,NCI,caDSR: 2935342 v1,
04 - Medical History,Migraine headache,migrainehist,SNOMED CT,37796009,,Wd0m49JhxKk,NINDS,NINDS: C16010 v3; NINDS Variable Name: HeadachMigranDiagnsInd,
04 - Medical History,Myocardial infarction - history,mihist,SNOMED CT,22298006,,QJ4EjxXykl,NCI,caDSR: 2935318 v1,
04 - Medical History,Pacemaker placement,ppmhist,,,,,,,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,SNOMED CT,128613002,,TFzSCDPwwcC,NINDS,NINDS: C05460 v3; NINDS Variable Name: SeizInd,
04 - Medical History,Stroke - history,strokehist,SNOMED CT,230690007,,Q1wezcqs3ol,PhenX,LOINC: 66612-3,
04 - Medical History,Taking cardiovascular medication,cvmedshist,,,,bEUT82KcuDB,NINDS,NINDS: C06250 v3; NINDS Variable Name: MedctnCardioFnctnExamDayInd,
04 - Medical History,Transient ischemic attack,tiahist,SNOMED CT,266257000,,Q1wezcqs3ol,PhenX,LOINC: 66612-3,
04 - Medical History,Peripheral vascular disease,pvdhist,,,,QkjPUIQyyg,NCI,caDSR: 2935411 v1,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,,,,mJGWfcqo3ol,PhenX,LOINC: 66623-0,
04 - Medical History,Angina pectoris,anginahist,,,,QkNxwsl711l,NCI,caDSR: 2935403 v1,
04 - Medical History,Cardiac arrest - history,cardarresthist,,,,rvMqJm4hzts,NINDS,NINDS: C05459 v3; NINDS Variable Name: CardArrestInd,
04 - Medical History,Bariatric surgery,bariatrichist,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,,,,,,,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist, , ,,,,,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,,,,,,,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist, , ,,,,,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,SNOMED CT,193462001,,,,,
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,SNOMED CT,60380001,,,,,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,ICSD-3,Period Limb Movement Disorder,,,,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,ICSD-3,Restless Legs Syndrome,,,,,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,SNOMED CT,27405005,,,,,
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,,,,,,,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,,,,,,,
04A - Medical History - Sleep Disorders,Chronic insomnia disorder,chronicinsomniahist,ICSD-3,Chronic Insomnia Disorder,insomniahist,,,,
04A - Medical History - Sleep Disorders,Short-term insomnia disorder,shortterminsomniahist,ICSD-3,Short-Term Insomnia Disorder,insomniahist,,,,
04A - Medical History - Sleep Disorders,Other insomnia disorder,otherinsomniahist,ICSD-3,Other Insomnia Disorder,insomniahist,,,,
04A - Medical History - Sleep Disorders,"Obstructive sleep apnea, adult",osaadulthist,ICSD-3,"Obstructive Sleep Apnea, Adult",apneahist,,,,
04A - Medical History - Sleep Disorders,"Obstructive sleep apnea, pediatric",osapedhist,ICSD-3,"Obstructive Sleep Apnea, Pediatric",apneahist,,,,
04A - Medical History - Sleep Disorders,Central sleep apnea with Cheyne-Stokes breathing,csawithcheynehist,ICSD-3,Central Sleep Apnea with Cheyne-Stokes Breathing,apneahist,,,,
04A - Medical History - Sleep Disorders,Central apnea due to a medical disorder without Cheyne-Stokes breathing,csadisordwithoutcheynehist,ICSD-3,Central Apnea Due to a Medical Disorder without Cheyne-Stokes Breathing,apneahist,,,,
04A - Medical History - Sleep Disorders,Central sleep apnea due to high altitude periodic breathing,csahighalthist,ICSD-3,Central Sleep Apnea Due to High Altitude Periodic Breathing,apneahist,,,,
04A - Medical History - Sleep Disorders,Central sleep apnea due to a medication or substance,csamedsubhist,ICSD-3,Central Sleep Apnea Due to a Medication or Substance,apneahist,,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea,primarycsahist,ICSD-3,Primary Central Sleep Apnea,apneahist,,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea of infancy,primarycsainfhist,ICSD-3,Primary Central Sleep Apnea of Infancy,apneahist,,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea of prematurity,primarycsapremhist,ICSD-3,Primary Central Sleep Apnea of Prematurity,apneahist,,,,
04A - Medical History - Sleep Disorders,Treatment-emergent central sleep apnea,treatemergcsahist,ICSD-3,Treatment-Emergent Central Sleep Apnea,apneahist,,,,
04A - Medical History - Sleep Disorders,Obesity hypoventilation syndrome,obeshypohist,ICSD-3,Obesity Hypoventilation Syndrome,,,,,
04A - Medical History - Sleep Disorders,Congenital central alveolar hypoventilation syndrome,congencenthypohist,ICSD-3,Congenital Central Alveolar Hypoventilation Syndrome,,,,,
04A - Medical History - Sleep Disorders,Late-onset central hypoventilation with hypothalamic dysfunction,latecenthypohypothalhist,ICSD-3,Late-Onset Central Hypoventilation with Hypothalamic Dysfunction,,,,,
04A - Medical History - Sleep Disorders,Idiopathic central alveolar hypoventilation,idiopathcenthypohist,ICSD-3,Idiopathic Central Alveolar Hypoventilation,,,,,
04A - Medical History - Sleep Disorders,Sleep related hypoventilation due to a medication or substance,sleephypomedsubhist,ICSD-3,Sleep Related Hypoventilation Due to a Medication or Substance,,,,,
04A - Medical History - Sleep Disorders,Sleep related hypoventilation due to a medical disorder,sleephypodisordhist,ICSD-3,Sleep Related Hypoventilation Due to a Medical Disorder,,,,,
04A - Medical History - Sleep Disorders,Narcolepsy type 1,narcoleptype1hist,ICSD-3,Narcolepsy Type 1,narcolephist,,,,
04A - Medical History - Sleep Disorders,Narcolepsy type 2,narcoleptype2hist,ICSD-3,Narcolepsy Type 2,narcolephist,,,,
