category,display_name,id,cfs,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,age,Age at time of visit,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Age,age,age_category,Age at time of visit,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Ethnicity,ethnicity,ethnicity,Subject ethnicity,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Ethnicity,ethnicity,hispanic,Hispanic,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Gender,gender,sex,Sex,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Race,race,amindian,Race - Native American,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Race,race,asian,Race - Asian,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Race,race,black,Race - Black,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Race,race,hawaiip,Race - Hawaiian or Pacific Islander,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Race,race,race,Race,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Race,race,white,Race - Caucasian,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Education,education,ladder,Where would you place yourself on this ladder?,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Income,income,ladder,Where would you place yourself on this ladder?,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Income,income,hsincome,What is your household income?,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Employed,employed,employ,What is your current employment status?,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Shift work,shiftwork,rotnite,Do you do rotating night shift work?,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
01 - Demographics,Shift work,shiftwork,stdynite,Do you do steady night shift work?,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
02 - Anthropometry,Body mass index,bmi,bmi,BMI,CFS,Visit 5,Calculated,,,
02 - Anthropometry,Body mass index,bmi,bmige30,BMI greater than 30?,CFS,Visit 5,Calculated,,,
02 - Anthropometry,Body mass index,bmi,bmiround,BMI (rounded to 3 decimal places),CFS,Visit 5,Calculated,,,
02 - Anthropometry,Body mass index Z-Score,bmizscore,,,,,,,,
02 - Anthropometry,Height,height,htcm,Height,CFS,Visit 5,Measured,,CFS in lab physio form-holtain stadiometer,
02 - Anthropometry,Height,height,hhtcm,Height (cm),CFS,Visit 5,Measured,,CFS in lab physio form-holtain stadiometer,
02 - Anthropometry,Hip circumference,hipcircum,hipcm,Mean hip circumference,CFS,Visit 5,Calculated,,inelastic tape measure,
02 - Anthropometry,Hip circumference,hipcircum,hipc1,hip circumference 1,CFS,Visit 5,Measured,,inelastic tape measure,
02 - Anthropometry,Hip circumference,hipcircum,hipc2,hip circumference 2,CFS,Visit 5,Measured,,inelastic tape measure,
02 - Anthropometry,Neck circumference,neckcircum,neckcm,Mean neck circumference,CFS,Visit 5,Calculated,,non-stretchable cloth measuring tape to the nearest 0.5 cm,
02 - Anthropometry,Neck circumference,neckcircum,neckc1,neck circumference 1,CFS,Visit 5,Measured,,non-stretchable cloth measuring tape to the nearest 0.5 cm,
02 - Anthropometry,Neck circumference,neckcircum,neckc2,neck circumference 2,CFS,Visit 5,Measured,,non-stretchable cloth measuring tape to the nearest 0.5 cm,
02 - Anthropometry,Tonsilar size,tonsilsize,nutonsil,"Tonsillar size, Dr. Rosen scale",CFS,Visit 5,Observed,,CFS in lab physio form,
02 - Anthropometry,Waist circumference,waistcirum,waistcm,Mean waist circumference,CFS,Visit 5,Calculated,,inelastic tape measure,
02 - Anthropometry,Waist circumference,waistcirum,waistc1,waist circumference 1,CFS,Visit 5,Measured,,inelastic tape measure,
02 - Anthropometry,Waist circumference,waistcirum,waistc2,waist circumference 2,CFS,Visit 5,Measured,,inelastic tape measure,
02 - Anthropometry,Waist/hip ratio,waisthip,,,,,,,,
02 - Anthropometry,Weight,weight,wtkg,Weight,CFS,Visit 5,Measured,,CFS in lab physio form- healthometer digital scale,
02 - Anthropometry,Weight,weight,whtkg,Weight (kg),CFS,Visit 5,Measured,,CFS in lab physio form- healthometer digital scale,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,am10dia,10 AM Diastolic,CFS,Visit 5,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,am7dia,7 AM Diastolic,CFS,Visit 5,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,dbp,Mean diastolic blood pressure,CFS,Visit 5,Calculated,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,labavgdia,Mean lab Diastolic Blood Pressure,CFS,Visit 5,Calculated,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,pm10dia,10 PM Diastolic,CFS,Visit 5,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Heart rate,heartrate,labavghr,Mean lab Heart Rate,CFS,Visit 5,Calculated,,MAC6 cardiograph,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,am10sys,10 AM Systolic,CFS,Visit 5,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,am7sys,7 AM Systolic,CFS,Visit 5,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,labavgsys,Mean lab Systolic Blood Pressure,CFS,Visit 5,Calculated,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,pm10sys,10 PM Systolic,CFS,Visit 5,Measured,,Sphygnomanometer - mercury,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,sbp,Mean systolic blood pressure,CFS,Visit 5,Calculated,,Sphygnomanometer - mercury,
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,,,,,,,
04 - Medical History,Anxiety disorder,anixietyhist,anxdiag,Physician-diagnosed Anxiety,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Asthma,asthmahist,activeasthma,Physician diagnosis of asthma or asthma medication usage for past 3 days,CFS,Visit 5,Physician diagnosed,,,
04 - Medical History,Atrial fibrillation - history,afibhist,,,,,,,,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,adddiag,Physician-diagnosed Attention Deficit Disorder,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Cancer - history,cancerhist,cancdiag,Physician-diagnosed Cancer,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,irrdiag,Physician-diagnosed Irregular Heart Beat,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Cardiovascular disease - history,cvdishist,angdiag,Physician-diagnosed Angina pectoris or Chest Pain from a heart condition,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Cardiovascular disease - history,cvdishist,angiop,Coronary Angioplasty,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Cardiovascular disease - history,cvdishist,bypass,Coronary Bypass,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Cardiovascular disease - history,cvdishist,cvd,Self-report of a physician diagnosis of cardiovascular disease,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
