category,display_name,id,chat,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,ageyear_at_meas,Age,,,,,,
01 - Demographics,Ethnicity,ethnicity,chi3,Child's ethnicity?,,,,,,
01 - Demographics,Gender,gender,male,Gender,,,,,,
01 - Demographics,Race,race,race3,Race,,,,,,
02 - Anthropometry,Body mass index,bmi,ant5,Child's BMI,,,,,,
02 - Anthropometry,Body mass index Z-Score,bmizscore,ant5a,Child's BMI Z score,,,,,,
02 - Anthropometry,Height,height,ant3,Child's standing height,,,,,,
02 - Anthropometry,Hip circumference,hipcircum,ant84,Hip Average,,,,,,
02 - Anthropometry,Neck circumference,neckcircum,ant64,Neck average,,,,,,
02 - Anthropometry,Tonsilar size,tonsilsize,tonsize,Tonsilar Size,,,,,,
02 - Anthropometry,Tonsilar size,tonsilsize,preop2,What was the pre-operation Tonsil size?,,,,,,
02 - Anthropometry,Waist circumference,waistcirum,ant74,Waist Average,,,,,,
02 - Anthropometry,Waist/hip ratio,waisthip,waisthipratio,Waist hip ratio algorithm,,,,,,
02 - Anthropometry,Weight,weight,ant4,Child's weight,,,,,,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,bp42,Average diastolic blood pressure,,,,,,
03 - Physiological Measurements,Heart rate,heartrate,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,bp41,Average systolic blood pressure
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,
04 - Medical History,Anxiety disorder,anixietyhist,med1b1,Ever had an anxiety disorder?
04 - Medical History,Anxiety disorder,anixietyhist,med1b2,Diagnosed or treated by a physician for an anxiety disorder?
04 - Medical History,Anxiety disorder,anixietyhist,med1b3,Anxiety disorder still present?
04 - Medical History,Anxiety disorder,anixietyhist,med1b4,Currently taking medication your anxiety disorder?
04 - Medical History,Asthma,asthmahist,med1c1,Ever had asthma?
04 - Medical History,Asthma,asthmahist,med1c2,Diagnosed or treated by a physician for asthma?
04 - Medical History,Asthma,asthmahist,med1c3,Asthma still present?
04 - Medical History,Asthma,asthmahist,med1c4,Currently taking medication for asthma?
04 - Medical History,Atrial fibrillation - history,afibhist,,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,med1d1,Ever had ADD/ADHD?
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,med1d2,Diagnosed or treated by a physician for ADD/ADHD?
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,med1d3,ADD/ADHD still present?
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,med1d4,Currently taking medication for ADD/ADHD?
04 - Medical History,Cancer - history,cancerhist,med1e1,Ever had cancer?
04 - Medical History,Cancer - history,cancerhist,med1e2,Diagnosed or treated by a physician for cancer?
04 - Medical History,Cancer - history,cancerhist,med1e3,Cancer still present?
04 - Medical History,Cancer - history,cancerhist,med1e4,Currently taking medication for cancer?
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,,
04 - Medical History,Cardiovascular disease - history,cvdishist,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,,
04 - Medical History,Congestive heart failure - history,chfhist,,
04 - Medical History,Coronary artery disease - history,cadhist,,
04 - Medical History,Depression,depresshist,med1h1,Ever had depression?
04 - Medical History,Depression,depresshist,med1h2,Diagnosed or treated by a physician for depression?
04 - Medical History,Depression,depresshist,med1h3,Depression still present?
04 - Medical History,Depression,depresshist,med1h4,Currently taking medication for depression?
04 - Medical History,Diabetes mellitus - history,dmhist,med1i1,Ever had diabetes?
04 - Medical History,Diabetes mellitus - history,dmhist,med1i2,Diagnosed or treated by a physician for diabetes?
04 - Medical History,Diabetes mellitus - history,dmhist,med1i3,Diabetes still present?
04 - Medical History,Diabetes mellitus - history,dmhist,med1i4,Currently taking medication for diabetes?
04 - Medical History,Eating disorder,eatingdishist,med1j1,Ever had an eating disorder?
04 - Medical History,Eating disorder,eatingdishist,med1j2,Diagnosed or treated by a physician for an eating disorder?
04 - Medical History,Eating disorder,eatingdishist,med1j3,Eating Disorder still present?
04 - Medical History,Eating disorder,eatingdishist,med1j4,Currently taking medication for an eating disorder?
04 - Medical History,Eczema,eczemahist,med1k1,Ever had eczema?
04 - Medical History,Eczema,eczemahist,med1k2,Diagnosed or treated by a physician for eczema?
04 - Medical History,Eczema,eczemahist,med1k3,Eczema still present?
04 - Medical History,Eczema,eczemahist,med1k4,Currently taking medication for eczema?
04 - Medical History,Gastroesophageal reflux disease,gerdhist,med1g1,Ever had heartburn or acid reflux?
04 - Medical History,Gastroesophageal reflux disease,gerdhist,med1g2,Diagnosed or treated by a physician for heartburn or acid reflux?
04 - Medical History,Gastroesophageal reflux disease,gerdhist,med1g3,Heartburn or acid reflux still present?
04 - Medical History,Gastroesophageal reflux disease,gerdhist,med1g4,Currently taking medication for heartburn or acid reflux?
04 - Medical History,Hay fever,hayfevhist,med1l1,Ever had hay fever?
04 - Medical History,Hay fever,hayfevhist,med1l2,Diagnosed or treated by a physician for hay fever?
04 - Medical History,Hay fever,hayfevhist,med1l3,Hay fever still present?
04 - Medical History,Hay fever,hayfevhist,med1l4,Currently taking medication for hay fever?
04 - Medical History,Hypercholesterolemia - history,cholesthist,med1n1,Ever had high cholesterol?
04 - Medical History,Hypercholesterolemia - history,cholesthist,med1n2,Diagnosed or treated by a physician for high cholesterol?
04 - Medical History,Hypercholesterolemia - history,cholesthist,med1n3,High cholesterol still present?
04 - Medical History,Hypercholesterolemia - history,cholesthist,med1n4,Currently taking medication for high cholesterol?
04 - Medical History,Hypertension - history,htnhist,med1m1,Ever had hypertension?
04 - Medical History,Hypertension - history,htnhist,med1m2,Diagnosed or treated by a physician for hypertension?
04 - Medical History,Hypertension - history,htnhist,med1m3,Hypertension still present?
04 - Medical History,Hypertension - history,htnhist,med1m4,Currently taking medication for hypertension?
04 - Medical History,Migraine headache,migrainehist,med1p1,Ever had headaches?
04 - Medical History,Migraine headache,migrainehist,med1p2,Diagnosed or treated by a physician for headaches?
04 - Medical History,Migraine headache,migrainehist,med1p3,Headaches still present?
04 - Medical History,Migraine headache,migrainehist,med1p4,Currently taking medication for headaches?
04 - Medical History,Myocardial infarction - history,mihist,,
04 - Medical History,Pacemaker placement,ppmhist,,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,,
04 - Medical History,Stroke - history,strokehist,,
04 - Medical History,Taking cardiovascular medication,cvmedshist,,
04 - Medical History,Transient ischemic attack,tiahist,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,eli16,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?"
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,eli16a,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?"
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,eli16,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?"
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,eli16a,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?"
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,eli16,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?"
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,eli16a,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?"
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,eli16,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?"
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,eli16a,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?"
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,med1o1,Ever had insomnia?
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,med1o2,Diagnosed or treated by a physician for insomnia?
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,med1o3,Insomnia still present?
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,med1o4,Currently taking medication for insomnia?
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,eli2,Does the participant have obstructive sleep apnea?
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,pe216a4,Oral device
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,pe216a2,CPAP or BIPAP
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,eli17,Has the participant received Continuous Positive Airway Pressure (CPAP) treatment?
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,,
05 - Medications,Cholinesterase Inhibitor,cholinh,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,,
05 - Medications,Antiarrhythmic,antiarrhyth,,
05 - Medications,Anticholinergic,antichol,,
05 - Medications,Anti-coagulant,anticoag,,
