category,display_name,id,chat,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,ageyear_at_meas,Age computed in years at time anth were taken,CHAT,Baseline/follow-up visit,Reported by parent or guardian,,Pediatric sleep questionnaire form,
01 - Demographics,Ethnicity,ethnicity,chi3,Child's ethnicity?,CHAT,Baseline visit,Reported by parent or guardian,,Child demographic information form,
01 - Demographics,Gender,gender,chi2,Gender,CHAT,Baseline/follow-up visit,Reported by parent or guardian,,Child demographic information form,
01 - Demographics,Race,race,race3,Race,CHAT,Baseline/follow-up visit,Reported by parent or guardian,,Child demographic information form,
01 - Demographics,Education,education,,,,,,,,
01 - Demographics,Income,income,,,,,,,,
01 - Demographics,Employed,employed,,,,,,,,
01 - Demographics,Shift work,shiftwork,,,,,,,,
02 - Anthropometry,Body mass index,bmi,ant5,Child's BMI,CHAT,Baseline/follow-up visit,Calculated,,Anthropometry form,
02 - Anthropometry,Body mass index Z-Score,bmizscore,ant5a,Child's BMI Z score,CHAT,Baseline/follow-up visit,Calculated,,Anthropometry form,
02 - Anthropometry,Height,height,ant3,Child's standing height,CHAT,Baseline/follow-up visit,Measured,,Anthropometry form- Holtain stadiometer,
02 - Anthropometry,Hip circumference,hipcircum,ant84,Hip Average,CHAT,Baseline/follow-up visit,Calculated,,Anthropometry form-inelastic measuring tape x long with lead before the zero line,
02 - Anthropometry,Neck circumference,neckcircum,ant64,Neck average,CHAT,Baseline/follow-up visit,Calculated,,Anthropometry form-inelastic tape measure .5 cm with lead before the zero line,
02 - Anthropometry,Tonsilar size,tonsilsize,tonsize,Tonsilar Size,CHAT,Baseline visit,Documented by ENT,,ENT evaluation and pre-operative questionnaire,
02 - Anthropometry,Tonsilar size,tonsilsize,preop2,What was the pre-operation Tonsil size?,CHAT,Baseline visit,Documented by ENT,,ENT evaluation and pre-operative questionnaire,
02 - Anthropometry,Waist circumference,waistcirum,ant74,Waist Average,CHAT,Baseline/follow-up visit,Calculated,,Anthropometry form-inelastic measuring tape x long with lead before the zero line,
02 - Anthropometry,Waist/hip ratio,waisthip,waisthipratio,Waist hip ratio algorithm,CHAT,Baseline/follow-up visit,Measured,,Anthropometry form-inelastic measuring tape x long with lead before the zero line,
02 - Anthropometry,Weight,weight,ant4,Child's weight,CHAT,Baseline/follow-up visit,Measured,,Anthropometry form-Healthometer digital scale,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,bp42,Average diastolic blood pressure,CHAT,Baseline/follow-up visit,Calculated,,"Blood pressure form- mercury sphygmomanometer, stethoscope, and BP cuffs",
03 - Physiological Measurements,Heart rate,heartrate,,,,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,bp41,Average systolic blood pressure,CHAT,Baseline/follow-up visit,Calculated,,"Blood pressure form- mercury sphygmomanometer, stethoscope, and BP cuffs",
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,,,,,,,
04 - Medical History,Anxiety disorder,anixietyhist,med1b1,Ever had an anxiety disorder?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Anxiety disorder,anixietyhist,med1b2,Diagnosed or treated by a physician for an anxiety disorder?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Anxiety disorder,anixietyhist,med1b3,Anxiety disorder still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Anxiety disorder,anixietyhist,med1b4,Currently taking medication your anxiety disorder?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Asthma,asthmahist,med1c1,Ever had asthma?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Asthma,asthmahist,med1c2,Diagnosed or treated by a physician for asthma?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Asthma,asthmahist,med1c3,Asthma still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Asthma,asthmahist,med1c4,Currently taking medication for asthma?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Atrial fibrillation - history,afibhist,,,,,,,,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,med1d1,Ever had ADD/ADHD?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,med1d2,Diagnosed or treated by a physician for ADD/ADHD?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,med1d3,ADD/ADHD still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,med1d4,Currently taking medication for ADD/ADHD?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Cancer - history,cancerhist,med1e1,Ever had cancer?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Cancer - history,cancerhist,med1e2,Diagnosed or treated by a physician for cancer?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Cancer - history,cancerhist,med1e3,Cancer still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Cancer - history,cancerhist,med1e4,Currently taking medication for cancer?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,,,,,,,,
04 - Medical History,Cardiovascular disease - history,cvdishist,,,,,,,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,,,,,,,,
04 - Medical History,Congestive heart failure - history,chfhist,,,,,,,,
04 - Medical History,Coronary artery disease - history,cadhist,,,,,,,,
04 - Medical History,Depression,depresshist,med1h1,Ever had depression?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Depression,depresshist,med1h2,Diagnosed or treated by a physician for depression?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Depression,depresshist,med1h3,Depression still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Depression,depresshist,med1h4,Currently taking medication for depression?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Diabetes mellitus - history,dmhist,med1i1,Ever had diabetes?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Diabetes mellitus - history,dmhist,med1i2,Diagnosed or treated by a physician for diabetes?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Diabetes mellitus - history,dmhist,med1i3,Diabetes still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Diabetes mellitus - history,dmhist,med1i4,Currently taking medication for diabetes?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Eating disorder,eatingdishist,med1j1,Ever had an eating disorder?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Eating disorder,eatingdishist,med1j2,Diagnosed or treated by a physician for an eating disorder?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Eating disorder,eatingdishist,med1j3,Eating Disorder still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
