category,display_name,id,heartbeat,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,age,Age,Heartbeat,Baseline visit,,,,
01 - Demographics,Age,age,agecat,Categorical Age,Heartbeat,Baseline/final visit,,,,
01 - Demographics,Age,age,calc_age,Age,Heartbeat,Baseline/final visit,,,,
01 - Demographics,Ethnicity,ethnicity,,,,,,,,
01 - Demographics,Gender,gender,male,Male gender,Heartbeat,Baseline/final visit,,,,
01 - Demographics,Race,race,amerindian,HHQB: Race: American Indian or Alaska Native,,,,,,
01 - Demographics,Race,race,asian,HHQB: Race: Asian,,,,,,
02 - Anthropometry,Body mass index,bmi,bmi_scrn,Body Mass Index,,,,,,
02 - Anthropometry,Body mass index,bmi,calc_bmi,Calculated Body Mass Index,,,,,,
02 - Anthropometry,Body mass index Z-Score,bmizscore,,,,,,,,
02 - Anthropometry,Height,height,htcm,Height,Heartbeat,Baseline visit,Measured,,Holtain stadiometer,
02 - Anthropometry,Height,height,htft,Height,Heartbeat,Baseline visit,Measured,,Holtain stadiometer,
02 - Anthropometry,Height,height,htin,Height,Heartbeat,Baseline visit,Measured,,Holtain stadiometer,
02 - Anthropometry,Height,height,heightcm,Height,Heartbeat,Baseline/final visit,Measured,,Heartbeat physical measurements form- Holtain stadiometer,
02 - Anthropometry,Hip circumference,hipcircum,hipcm1,Hip measurement 1,Heartbeat,Baseline/final visit,Measured,,"Heartbeat physical measurements form- inelastic measuring tape 150 cm. long, accurate to 0.1 cm. with a lead before the zero mark",
02 - Anthropometry,Hip circumference,hipcircum,hipcm2,Hip measurement 2,Heartbeat,Baseline/final visit,Measured,,"Heartbeat physical measurements form- inelastic measuring tape 150 cm. long, accurate to 0.1 cm. with a lead before the zero mark",
02 - Anthropometry,Hip circumference,hipcircum,hipmean,Hip Circumference Mean (2 Measurements),Heartbeat,Baseline/final visit,Calculated,hipmean = ( hipcm1 + hipcm2 ) / 2,Heartbeat physical measurements form,
02 - Anthropometry,Neck circumference,neckcircum,neckcm1,Neck measurement 1,Heartbeat,Baseline/final visit,Measured,,"Heartbeat physical measurements form- inelastic measuring tape, 0.5 cm wide for neck, with a lead before the zero mark",
02 - Anthropometry,Neck circumference,neckcircum,neckcm2,Neck measurement 2,Heartbeat,Baseline/final visit,Measured,,"Heartbeat physical measurements form- inelastic measuring tape, 0.5 cm wide for neck, with a lead before the zero mark",
02 - Anthropometry,Neck circumference,neckcircum,neckmean,Neck Circumference Mean (2 Measurements),Heartbeat,Baseline/final visit,Calculated,neckmean = ( neckcm1 + neckcm2 ) / 2,Heartbeat physical measurements form,
02 - Anthropometry,Tonsilar size,tonsilsize,,,,,,,,
02 - Anthropometry,Waist circumference,waistcirum,waistcm1,Waist measurement 1,Heartbeat,Baseline/final visit,Measured,,"Heartbeat physical measurements form- inelastic measuring tape 150 cm. long, accurate to 0.1 cm. with a lead before the zero mark",
02 - Anthropometry,Waist circumference,waistcirum,waistcm2,Waist measurement 2,Heartbeat,Baseline/final visit,Measured,,"Heartbeat physical measurements form- inelastic measuring tape 150 cm. long, accurate to 0.1 cm. with a lead before the zero mark",
02 - Anthropometry,Waist circumference,waistcirum,waistmean,Waist Circumference Mean (2 Measurements),Heartbeat,Baseline/final visit,Calculated,waistmean = ( waistcm1 + waistcm2 ) / 2,Heartbeat physical measurements form,
02 - Anthropometry,Waist/hip ratio,waisthip,,,,,,,,
