id,hchs,definition,positive_value
icdadultosa_symptoms,ess,Epworth Sleepiness Scale,>10
icdadultosa_history,hypertension,Hypertension (BP>=140/90 and Med Use),1
icdadultosa_history,hypertension2,Hypertension using NHANES definition,1
icdadultosa_history,hypertension_c4,4-level grouped hypertension (none/pre/treated/untreated),"3,4"
icdadultosa_history,chd_self,Self-reported CHD,1
icdadultosa_history,prechd_angina,"Prevalent Coronary Heart Disease, including self-report",1
icdadultosa_history,prechd_no_angina,Prevalent Coronary Heart Disease,1
icdadultosa_history,cdcr,"Cerebrovascular Disease and Carotid Revascularization, self-report",1
icdadultosa_history,stroke,"Prevalent Stroke, self report",1
icdadultosa_history,stroke_tia,"Prevalent Stroke or TIA, self report",1
icdadultosa_history,diab_diag,Diabetes Diagnosis,"1,2"
icdadultosa_history,diabetes1,3-level grouped Diabetes ver.1,3
icdadultosa_history,diabetes2,3-level grouped Diabetes - ADA,3
icdadultosa_history,diabetes2_indicator,Diabetes Indicator - ADA,1
icdadultosa_history,diabetes3,3-level grouped Diabetes - includes self-report,3
icdadultosa_history,diabetes_c4,4-level grouped diabetes (none/pre/treated/untreated),"3,4"
icdadultosa_history,diabetes_lab,3-level grouped Diabetes - Lab,3
icdadultosa_history,diabetes_self,Diabetes - self report only,1
icdadultosa_history,dm_aware,Diabetes awareness at baseline,1
icdadultosa_history,dm_control,Diabetes controlled: DM Classified at Baseline and A1C < 7%,"0,1"
icsdadultosa_psg15events,ahi_ge15,Sleep Apnea defined as Apnea/Hypopnea Index (3% desat) >= 15,1
icsdinsom_history,slea4,Trouble falling asleep,"4,5"
icsdinsom_history,slea5,Wake up several times at night,"4,5"
icsdinsom_history,slea6,Wake up earlier than you plan,"4,5"
icsdinsom_symptoms,slea10,Feel Sleepy during the Day,"3,4,5"
icsdinsom_symptoms,slea9,Sleep difficulties make irritable (SLEA9),"3,4,5"
icsdinsom_symptoms,ess,Epworth Sleepiness Scale,>10
