id,mros,definition,positive_value
icdadultosa_symptoms,epepwort,Epworth sleepiness scale score (0-24),>10
icdadultosa_symptoms,fofosq,Functional outcomes of sleep questionnaire total score (5-20),<18
icdadultosa_symptoms,sloftn,Have you been feeling unusually tired?,"1,2"
icdadultosa_symptoms,slprintr,"To what extent do you consider your sleep problem to interfere with your daily functioning (e.g., daytime fatigue, ability to function at work/daily chores, concentration, memory, mood, etc.)?","2,3,4"
icdadultosa_symptoms,slslplev,"During the past month, how sleepy did you feel during the day?","4,5,6,7,8,9,10"
icdadultosa_symptoms,slstyslp,Difficulty staying sleep in the last month?,"2,3,4"
icdadultosa_symptoms,sltire,"In the past month, on the average, have you been feeling unusually tired during the day?",1
icdadultosa_symptoms,sltirlev,"During the past month, how tired did you feel?","4,5,6,7,8,9,10"
icdadultosa_symptoms,poxsnort,"During the past month, how often have you had trouble sleeping because of snorting or gasping?","2,3"
icdadultosa_symptoms,pqbploud,Please ask you bed partner or roommate how often in the past month you have had lour snoring,3
icdadultosa_symptoms,pqbppaus,Please ask your bed partner or roommate how often in the past month you have had long pauses between breaths while asleep,"2,3"
icdadultosa_symptoms,pqbadslp,Poor sleeper based on PQPSQI>5,1
icdadultosa_symptoms,slisiscr,Insomnia severity index (0-28),>14
icdadultosa_history,mhbp,Has a doctor or other health care provider ever told you that you had hypertension of high blood pressure?,1
icdadultosa_history,mhbpt,Are you currently being treated for hypertension of high blood pressure by a doctor?,1
icdadultosa_history,mhdepr,Has a doctor or other health care provider ever told you that you had depression?,1
icdadultosa_history,mhdeprt,Are you currently being treated for depression by a doctor?,1
icdadultosa_history,mhalzh,Has a doctor or other health care provider ever told you that you had dementia or Alzheimer's disease?,1
icdadultosa_history,mhalzht,Are you currently being treated for dementia or Alzheimer's disease by a doctor?,1
icdadultosa_history,cvapcora,"Have you ever had any medical or surgical procedure in your heart, neck, or blood vessels, such as angioplasty of coronary arteries, which is a dilation of arteries of the heart with a balloon?",1
icdadultosa_history,cvcabg,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as coronary bypass surgery, heart bypass, or CABG??",1
icdadultosa_history,cvchd,Had previous history of coronary heart disease?,1
icdadultosa_history,cvsurg,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as angioplasty or bypass surgery?",1
icdadultosa_history,mhmi,"Has a doctor or other health care provider ever told you that you had a heart attack, coronary or myocardial infarction?",1
icdadultosa_history,mhmit,"Are you currently being treated for a heart attack, coronary or myocardial infarction by a doctor?",1
icdadultosa_history,cvcer,Had previous history of cerebrovascular?,1
icdadultosa_history,cvsurgbv,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as carotid endarterectomy, which is surgery on the blood vessels in your neck?",1
icdadultosa_history,cvtia,"Has a doctor or other health care provider ever told you that you had TIA, transient ischemic attack, or mini-stroke?",1
icdadultosa_history,cvtiat,"Are you currently being treated for TIA, transient ischemic attack, or mini-stroke by a doctor?",1
icdadultosa_history,mhstrk,"Has a doctor or other health care provider ever told you that you had a stroke, blood clot in the brain or bleeding in the brain?",1
icdadultosa_history,mhstrkt,"Are you currently being treated for a stroke, blood clot in the brain or bleeding in the brain, by a doctor?",1
icdadultosa_history,mhchf,Has a doctor or other health care provider ever told you that you had congestive heart failure or enlarged heart?,1
icdadultosa_history,mhchft,Are you currently being treated for congestive heart failure or enlarged heart by a doctor?,1
icdadultosa_history,mhafib,Ever diagnosed with atrial fibrillation/flutter?,1
icdadultosa_history,mhdiab,Has a doctor or other health care provider ever told you that you had diabetes?,1
icdadultosa_history,mhdiabt,Are you currently being treated for diabetes by a doctor?,1
icsdadultosa_psg5events,poordi3,Obstructive apnea (all desaturations) hypopnea (3% desaturation) index,
icsdadultosa_psg15events,poordi3,Obstructive apnea (all desaturations) hypopnea (3% desaturation) index,
