category,display_name,id,mesa,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,age1c,Age At Exam 1,,,,,,
01 - Demographics,Age,age,age5c,Age At Exam 5,MESA,exam 5,Reported by subject,,,
01 - Demographics,Ethnicity,ethnicity,,,,,,,,
01 - Demographics,Gender,gender,gender1,Gender,MESA,exam 5,Reported by subject,,,
01 - Demographics,Race,race,race1c,Race / Ethnicity,MESA,exam 5,Reported by subject,,,
01 - Demographics,Education,education,,,,,,,,
01 - Demographics,Income,income,income5,Total Gross Family Income,MESA,,,,,
01 - Demographics,Employed,employed,empstat5,Employment Status At Exam 5,MESA,,,,,
01 - Demographics,Shift work,shiftwork,,,,,,,,
02 - Anthropometry,Body mass index,bmi,bmi5c,Body Mass Index (kg/m^2),MESA,,,,,
02 - Anthropometry,Body mass index Z-Score,bmizscore,,,,,,,,
02 - Anthropometry,Height,height,htcm5,Height (cm),MESA,,,,,
02 - Anthropometry,Hip circumference,hipcircum,hipcm5,Hip Circumference (cm),MESA,,,,,
02 - Anthropometry,Neck circumference,neckcircum,,,,,,,,
02 - Anthropometry,Tonsilar size,tonsilsize,,,,,,,,
02 - Anthropometry,Waist circumference,waistcirum,waistcm5,Waist Circumference (cm),MESA,,,,,
02 - Anthropometry,Waist/hip ratio,waisthip,,,,,,,,
02 - Anthropometry,Weight,weight,wtlb5,Weight (lbs),MESA,,,,,
02 - Anthropometry,Weight,weight,bcswtkg5,Body Composition Scale: Current Body Weight (kg),MESA,,,,,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,d1bp5,Seated BP: Diastolic 1st Reading (mmhg),MESA,,,,,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,d2bp5,Seated BP: Diastolic 2nd Reading (mmhg),MESA,,,,,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,d3bp5,Seated BP: Diastolic 3rd Reading (mmhg),MESA,,,,,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,dbp5c,Seated Diastolic Blood Pressure (mmhg),MESA,,,,,
03 - Physiological Measurements,Heart rate,heartrate,hr1dina5,Heart Rate 1st Reading,MESA,,,,,
03 - Physiological Measurements,Heart rate,heartrate,hr2dina5,Heart Rate 2nd Reading,MESA,,,,,
03 - Physiological Measurements,Heart rate,heartrate,hr3dina5,Heart Rate 3rd Reading,MESA,,,,,
03 - Physiological Measurements,Heart rate,heartrate,hrdina5c,Seated Heart Rate (beats per minute),MESA,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,s1bp5,Seated BP: Systolic 1st Reading (mmhg),MESA,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,s2bp5,Seated BP: Systolic 2nd Reading (mmhg),MESA,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,s3bp5,Seated BP: Systolic 3rd Reading (mmhg),MESA,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,sbp5c,Seated Systolic Blood Pressure (mmhg),MESA,,,,,
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,,,,,,,
04 - Medical History,Anxiety disorder,anixietyhist,,,,,,,,
04 - Medical History,Asthma,asthmahist,,,,,,,,
04 - Medical History,Atrial fibrillation - history,afibhist,,,,,,,,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,,,,,,,,
04 - Medical History,Cancer - history,cancerhist,,,,,,,,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,,,,,,,,
04 - Medical History,Cardiovascular disease - history,cvdishist,,,,,,,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,,,,,,,,
04 - Medical History,Congestive heart failure - history,chfhist,,,,,,,,
04 - Medical History,Coronary artery disease - history,cadhist,,,,,,,,
04 - Medical History,Depression,depresshist,,,,,,,,
04 - Medical History,Diabetes mellitus - history,dmhist,dm035c,Diabetes 2003 ADA Fasting Criteria,MESA,,,,,
04 - Medical History,Diabetes mellitus - history,dmhist,diabins5,Insulin Or Hypoglycemics For Diabetes,MESA,,,,,
04 - Medical History,Eating disorder,eatingdishist,,,,,,,,
04 - Medical History,Eczema,eczemahist,,,,,,,,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,,,,,,,,
04 - Medical History,Hay fever,hayfevhist,,,,,,,,
04 - Medical History,Hypercholesterolemia - history,cholesthist,,,,,,,,
04 - Medical History,Hypertension - history,htnhist,htn5c,"Hypertension By JNC VI (1997) Criteria, Exam 5",MESA,,,,,
04 - Medical History,Migraine headache,migrainehist,,,,,,,,
04 - Medical History,Myocardial infarction - history,mihist,,,,,,,,
04 - Medical History,Pacemaker placement,ppmhist,,,,,,,,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,,,,,,,,
04 - Medical History,Stroke - history,strokehist,,,,,,,,
04 - Medical History,Taking cardiovascular medication,cvmedshist,htnmed5c,Any Hypertension Medication,MESA,,,,,
04 - Medical History,Transient ischemic attack,tiahist,,,,,,,,
04 - Medical History,Peripheral vascular disease,pvdhist,,,,,,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,,,,,,,,
04 - Medical History,Angina pectoris,anginahist,,,,,,,,
04 - Medical History,Cardiac arrest - history,cardarresthist,,,,,,,,
04 - Medical History,Bariatric surgery,bariatrichist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,uvula5,Receive Treatment For Sleep Apnea: Throat/Uvula Surgery,MESA,Exam 5,Reported by subject,,Sleep Questionnaire,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,insmnia5,Told By Doctor As Having: Insomnia,MESA,Exam 5,Physician diagnosed (self reported),,Sleep Questionnaire,
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,,,,,,,,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,,,,,,,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,rstlesslgs5,Told By Doctor As Having: Restless Legs,MESA,Exam 5,Physician diagnosed (self reported),,Sleep Questionnaire,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,slpapnea5,Told By Doctor As Having: Sleep Apnea,MESA,Exam 5,Physician diagnosed (self reported),,Sleep Questionnaire,
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,dntaldv5,Receive Treatment For Sleep Apnea: Dental (Oral) Device,MESA,Exam 5,Reported by subject,,Sleep Questionnaire,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,cpap5,Receive Treatment For Sleep Apnea: CPAP Or BiPAP Machine,MESA,Exam 5,Reported by subject,,Sleep Questionnaire,
04A - Medical History - Sleep Disorders,Chronic insomnia disorder,chronicinsomniahist,,,,,,,,
04A - Medical History - Sleep Disorders,Short-term insomnia disorder,shortterminsomniahist,,,,,,,,
04A - Medical History - Sleep Disorders,Other insomnia disorder,otherinsomniahist,,,,,,,,
04A - Medical History - Sleep Disorders,"Obstructive sleep apnea, adult",osaadulthist,,,,,,,,
04A - Medical History - Sleep Disorders,"Obstructive sleep apnea, pediatric",osapedhist,,,,,,,,
04A - Medical History - Sleep Disorders,Central sleep apnea with Cheyne-Stokes breathing,csawithcheynehist,,,,,,,,
04A - Medical History - Sleep Disorders,Central apnea due to a medical disorder without Cheyne-Stokes breathing,csadisordwithoutcheynehist,,,,,,,,
04A - Medical History - Sleep Disorders,Central sleep apnea due to high altitude periodic breathing,csahighalthist,,,,,,,,
04A - Medical History - Sleep Disorders,Central sleep apnea due to a medication or substance,csamedsubhist,,,,,,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea,primarycsahist,,,,,,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea of infancy,primarycsainfhist,,,,,,,,
04A - Medical History - Sleep Disorders,Primary central sleep apnea of prematurity,primarycsapremhist,,,,,,,,
04A - Medical History - Sleep Disorders,Treatment-emergent central sleep apnea,treatemergcsahist,,,,,,,,
04A - Medical History - Sleep Disorders,Obesity hypoventilation syndrome,obeshypohist,,,,,,,,
04A - Medical History - Sleep Disorders,Congenital central alveolar hypoventilation syndrome,congencenthypohist,,,,,,,,
04A - Medical History - Sleep Disorders,Late-onset central hypoventilation with hypothalamic dysfunction,latecenthypohypothalhist,,,,,,,,
04A - Medical History - Sleep Disorders,Idiopathic central alveolar hypoventilation,idiopathcenthypohist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep related hypoventilation due to a medication or substance,sleephypomedsubhist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep related hypoventilation due to a medical disorder,sleephypodisordhist,,,,,,,,
04A - Medical History - Sleep Disorders,Narcolepsy type 1,narcoleptype1hist,,,,,,,,
04A - Medical History - Sleep Disorders,Narcolepsy type 2,narcoleptype2hist,,,,,,,,
04A - Medical History - Sleep Disorders,Idiopathic hypersomnia,idiopathhypersomhist,,,,,,,,
04A - Medical History - Sleep Disorders,Kleine-Levin syndrome,kleinelevinhist,,,,,,,,
04A - Medical History - Sleep Disorders,Hypersomnia due to a medical disorder,hypersomdisordhist,,,,,,,,
04A - Medical History - Sleep Disorders,Hypersomnia due to a medication or substance,hypersommedsubhist,,,,,,,,
04A - Medical History - Sleep Disorders,Hypersomnia associated with a psychiatric disorder,hypersompsychhist,,,,,,,,
04A - Medical History - Sleep Disorders,Insufficient sleep syndrome,insuffsleephist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep related leg cramps,sleeplegcramphist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep related bruxism,sleepbruxhist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep related rhythmic movement disorder,sleeprhthymmdhist,,,,,,,,
04A - Medical History - Sleep Disorders,Benign sleep myoclonus of infancy,sleepmyocloninfhist,,,,,,,,
04A - Medical History - Sleep Disorders,Propriospinal myoclonus at sleep onset,propmyoclonhist,,,,,,,,
