category,display_name,id,mros,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,,,,,,,,
01 - Demographics,Ethnicity,ethnicity,,,,,,,,
01 - Demographics,Gender,gender,gender,Gender,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
01 - Demographics,Race,race,,,,,,,,
01 - Demographics,Education,education,,,,,,,,
01 - Demographics,Income,income,,,,,,,,
01 - Demographics,Employed,employed,,,,,,,,
01 - Demographics,Shift work,shiftwork,,,,,,,,
02 - Anthropometry,Body mass index,bmi,hw1s2bmi,"Body mass index, V1 to VS2",MrOS,In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 2),
02 - Anthropometry,Body mass index,bmi,hw1sbmi,"Body mass index, V1 to sleep",MrOS,In Clinic Visit 1,calculated,,Anthropometry Form ( MrOS 1),
02 - Anthropometry,Body mass index,bmi,hw2s2bmi,"Body mass index, V2 to VS2",MrOS,In Clinic Visit 1,calculated,,Anthropometry Form ( MrOS 1),
02 - Anthropometry,Body mass index,bmi,hw3s2bmi,"Body mass index, V3 to VS2",MrOS,In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 2),
02 - Anthropometry,Body mass index,bmi,hwbmi,Body mass index,MrOS,In Clinic Vistit 1/In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 1),
02 - Anthropometry,Body mass index,bmi,hwds2bmi,"Body mass index, VD to VS2",MrOS,In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 2),
02 - Anthropometry,Body mass index,bmi,hwdsbmi,"Body mass index, VD to sleep",MrOS,In Clinic Visit 1,calculated,,Anthropometry Form ( MrOS 1),
02 - Anthropometry,Body mass index,bmi,hwss2bmi,"Body mass index, SL to VS2",MrOS,In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 2),
02 - Anthropometry,Body mass index Z-Score,bmizscore,,,,,,,,
02 - Anthropometry,Height,height,hwhgt,"Average height, standing",MrOS,In Clinic Vistit 1/In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Height,height,hwmeas1,"Standing height, measurement 1",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Height,height,hwmeas2,"Standing height, measurement 2",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Height,height,hwmeas3,"Standing height, measurement 3",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Height,height,hwmeas4,"Standing height, measurement 4",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Hip circumference,hipcircum,hwhip,Average hip circumference,MrOS,In Clinic Vistit 1/In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Hip circumference,hipcircum,hwhip1,"Hip, measurement 1",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Hip circumference,hipcircum,hwhip2,"Hip, measurement 2",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Hip circumference,hipcircum,hwhip3,"Hip, measurement 3",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Neck circumference,neckcircum,hwneck,Average neck circumference,MrOS,In Clinic Vistit 1/In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Neck circumference,neckcircum,hwneck1,"Neck, measurement 1",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Neck circumference,neckcircum,hwneck2,"Neck, measurement 2",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Neck circumference,neckcircum,hwneck3,"Neck, measurement 3",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Tonsilar size,tonsilsize,,,,,,,,
02 - Anthropometry,Waist circumference,waistcirum,hwwais,Average waist circumference,MrOS,In Clinic Vistit 1/In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Waist circumference,waistcirum,hwwais1,"Waist, measurement 1",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Waist circumference,waistcirum,hwwais2,"Waist, measurement 2",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Waist circumference,waistcirum,hwwais3,"Waist, measurement 3",MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
02 - Anthropometry,Waist/hip ratio,waisthip,,,,,,,,
02 - Anthropometry,Weight,weight,hwwgt,Weight,MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 1/MrOS 2),
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,bpbpdia,Sitting measurement 1: Diastolic,MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,"Anthropometry Form ( MrOS 1/MrOS 2) - mercury sphygmomanometer, stethoscope, and BP cuff",
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,bpbpdia2,Sitting measurement 2: Diastolic,MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,"Anthropometry Form ( MrOS 1/MrOS 2) - mercury sphygmomanometer, stethoscope, and BP cuff",
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,bpbpdiam,Average diastolic blood pressure,MrOS,In Clinic Visit 1,measured ,,"Anthropometry Form ( MrOS 1) - mercury sphygmomanometer, stethoscope, and BP cuff",
03 - Physiological Measurements,Heart rate,heartrate,hwpulse1,Pulse measurement 1,MrOS,In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 2),
03 - Physiological Measurements,Heart rate,heartrate,hwpulse2,Pulse measurement 2,MrOS,In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 2),
