category,display_name,id,sof,definition,source,time,method,formula,equipment,link
01 - Demographics,Age,age,,,,,,,,
01 - Demographics,Ethnicity,ethnicity,,,,,,,,
01 - Demographics,Gender,gender,gender,Gender,SOF,Visit 8,,,,
01 - Demographics,Race,race,,,,,,,,
01 - Demographics,Education,education,,,,,,,,
01 - Demographics,Income,income,,,,,,,,
01 - Demographics,Employed,employed,,,,,,,,
01 - Demographics,Shift work,shiftwork,,,,,,,,
02 - Anthropometry,Body mass index,bmi,,,,,,,,
02 - Anthropometry,Body mass index Z-Score,bmizscore,,,,,,,,
02 - Anthropometry,Height,height,,,,,,,,
02 - Anthropometry,Hip circumference,hipcircum,,,,,,,,
02 - Anthropometry,Neck circumference,neckcircum,,,,,,,,
02 - Anthropometry,Tonsilar size,tonsilsize,,,,,,,,
02 - Anthropometry,Waist circumference,waistcirum,,,,,,,,
02 - Anthropometry,Waist/hip ratio,waisthip,,,,,,,,
02 - Anthropometry,Weight,weight,,,,,,,,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,,,,,,,,
03 - Physiological Measurements,Heart rate,heartrate,,,,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,,,,,,,,
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,,,,,,,
04 - Medical History,Anxiety disorder,anixietyhist,,,,,,,,
04 - Medical History,Asthma,asthmahist,,,,,,,,
04 - Medical History,Atrial fibrillation - history,afibhist,,,,,,,,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,,,,,,,,
04 - Medical History,Cancer - history,cancerhist,,,,,,,,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,,,,,,,,
04 - Medical History,Cardiovascular disease - history,cvdishist,,,,,,,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,,,,,,,,
04 - Medical History,Congestive heart failure - history,chfhist,,,,,,,,
04 - Medical History,Coronary artery disease - history,cadhist,,,,,,,,
04 - Medical History,Depression,depresshist,,,,,,,,
04 - Medical History,Diabetes mellitus - history,dmhist,,,,,,,,
04 - Medical History,Eating disorder,eatingdishist,,,,,,,,
04 - Medical History,Eczema,eczemahist,,,,,,,,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,,,,,,,,
04 - Medical History,Hay fever,hayfevhist,,,,,,,,
04 - Medical History,Hypercholesterolemia - history,cholesthist,,,,,,,,
04 - Medical History,Hypertension - history,htnhist,,,,,,,,
04 - Medical History,Migraine headache,migrainehist,,,,,,,,
04 - Medical History,Myocardial infarction - history,mihist,,,,,,,,
04 - Medical History,Pacemaker placement,ppmhist,,,,,,,,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,,,,,,,,
04 - Medical History,Stroke - history,strokehist,,,,,,,,
04 - Medical History,Taking cardiovascular medication,cvmedshist,,,,,,,,
04 - Medical History,Transient ischemic attack,tiahist,,,,,,,,
04 - Medical History,Peripheral vascular disease,pvdhist,,,,,,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,,,,,,,,
04 - Medical History,Angina pectoris,anginahist,,,,,,,,
04 - Medical History,Cardiac arrest - history,cardarresthist,,,,,,,,
04 - Medical History,Bariatric surgery,bariatrichist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,,,,,,,,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,,,,,,,,
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,,,,,,,,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,,,,,,,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,,,,,,,,
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,,,,,,,,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,,,,,,,,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,,,,,,,,
05 - Medications,Cholinesterase Inhibitor,cholinh,,,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,,,,,,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,,,,,,,,
05 - Medications,Aldosterone Receptor Blocker,aldostblocker,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,,,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,,,,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,,,,,,,,
05 - Medications,Anticholinergic,antichol,,,,,,,,
05 - Medications,Anti-coagulant,anticoag,,,,,,,,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,,,,,,,
05 - Medications,Benzodiazepine,benzo,,,,,,,,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,,,,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,,,,,,,,
05 - Medications,Biguanide,biguanide,,,,,,,,
05 - Medications,Bile Acid Sequestrant,bileacidseq,,,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,,,,,,,,
05 - Medications,Cardiac Glycoside,digitalis,,,,,,,,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,,,,,,,,
05 - Medications,Corticosteroid,corticoster,,,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,,,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,,,,,,,,
05 - Medications,Estrogen,estrogen,,,,,,,,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,,,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,,,,,,,,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,,,,,,,,
05 - Medications,Hypercholesterolemia,cholloweragent,,,,,,,,
05 - Medications,Insulin,insulin,,,,,,,,
05 - Medications,Insulin Analog,insulinanalog,,,,,,,,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,,,,,,,,
05 - Medications,Loop Diuretic,loopdiuretic,,,,,,,,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,,,,,,,,
05 - Medications,l-Thyroxine,thyroxine,,,,,,,,
05 - Medications,l-Triiodothyronine,triiodothy,,,,,,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,,,,,,,,
