display_name,id,shhs_id,definition
,pid,obf_pptid,
Age,age,age_s1,"Age at time of study in years, based on start date of SHHS1 PSG recording. [((PSG start date) - (date of birth)) / 365.25]"
,age,age_s2,Age in years at the time of the SHHS2 visit
Ethnicity,ethnicity,,
Gender,gender,gender,Gender as reported by Parent Cohort
Race,race,race,Race category as reported by Parent Cohort
Body mass index,bmi,bmi_s1,Body Mass Index at SHHS1. kilogram per square meter
,bmi,bmi_s2,Body Mass Index at SHHS2. kilogram per square meter
Cardiovascular disease,cvdishist,angina15,MD said participant had angina?
,cvdishist,ca15,MD said participant had coronary angioplasty?
,cvdishist,cabg15,MD said participant had CABG?
,cvdishist,mi15,MD said participant had heart attack?
,cvdishist,mi_hx,Prevalent heart attacks (TucsonCVD)
,cvdishist,othrcs15,MD said participant had other heart/cardiac surgery?
Chronic obstructive pulmonary disease/emphysema,copdhist,copd15 ,MD said participant had COPD?
,copdhist,crbron15,MD said participant had chronic bronchitis?
,copdhist,hi201a,1. Has a doctor ever told you that you have the following? a. Emphysema
,copdhist,hi201b,1. Has a doctor ever told you that you have the following? b. Chronic bronchitis
,copdhist,hi201c,1. Has a doctor ever told you that you have the following? c. COPD (chronic obstructive pulmonary disease)
Congestive heart failure,chfhist,hf15,MD said participant had heart failure?
Diabetes mellitus,dmhist,parrptdiab,Parent Cohort reported Diabetes Status
Hypertension,htnhist,htnderv_s1,Hypertension Status based on 2nd and 3rd BP readings OR being treated with HTN meds
,htnhist,htnderv_s2,"Derived Hypertension classification (based on blood pressure measurements, history of HTN dx, and medication use)"
,htnhist,srhype,Self-Reported Hypertension
Pacemaker placement,ppmhist,pacem15,MD said participant had pace maker?
Stroke,strokehist,stroke15,MD said participant had stroke?
,strokehist,stroke_hx,Prevalent stroke
Taking cardiovascular medication,cvmedshist,beta1,"Participant taking BETA-BLOCKERS WITHOUT DIURETICS within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,beta2,"Participant taking BETA-BLOCKERS WITHOUT DIURETICS within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
